legacy_id,canonical_id,changed
GEN-ALTHRI-01,GEN-ALTERNATIVEHRI-01P,yes
GEN-ALTHRI-02,GEN-ALTERNATIVEHRI-02P,yes
GEN-BREAKFAST-01P,GEN-BREAKFAST-01P,no
GEN-HUMANASSIST-01,GEN-HUMANASSIST-01P,yes
GEN-HUMANASSIST-02,GEN-HUMANASSIST-02P,yes
GEN-HUMANASSIST-03,GEN-HUMANASSIST-14P,yes
GEN-HUMANASSIST-03B,GEN-HUMANASSIST-14P,yes
GEN-HUMANASSIST-04,GEN-HUMANASSIST-04P,yes
GEN-HUMANASSIST-05,GEN-HUMANASSIST-05P,yes
GEN-HUMANASSIST-06,GEN-HUMANASSIST-06P,yes
GEN-HUMANASSIST-07,GEN-HUMANASSIST-07P,yes
GEN-HUMANASSIST-08,GEN-HUMANASSIST-08P,yes
GEN-HUMANASSIST-09,GEN-HUMANASSIST-09P,yes
GEN-HUMANASSIST-10,GEN-HUMANASSIST-10P,yes
GEN-HUMANASSIST-11,GEN-HUMANASSIST-11P,yes
GEN-HUMANASSIST-12,GEN-HUMANASSIST-12P,yes
GEN-HUMANASSIST-13,GEN-HUMANASSIST-13P,yes
HRI-ATTEND-01P,HRI-ATTEND-01P,no
HRI-COMMUNICATE-01,HRI-COMMUNICATEORDER-01,yes
HRI-EYECONTACT-01P,HRI-EYECONTACT-01P,no
HRI-LOOKAT-01,HRI-LOOKAT-01,no
HRI-LOOKAT-02,HRI-LOOKAT-02,no
HRI-OFFERSEAT-01,HRI-OFFERSEAT-01,no
HRI-RECEIVEHANDOVER-01,HRI-RECEIVEHANDOVER-01,no
HRI-RECEIVEHANDOVER-01P1,HRI-RECEIVEHANDOVER-01P1,no
HRI-RECEIVEHANDOVER-01P2,HRI-RECEIVEHANDOVER-01P2,no
HRI-STATEINFO-01,HRI-STATESTOREDINFO-01,yes
HRI-STATEINFO-01P,HRI-STATESTOREDINFO-02P,yes
MAN-APPLIANCE-01,MAN-APPLIANCE-01,no
MAN-APPLIANCE-02,MAN-APPLIANCE-02,no
MAN-APPLIANCE-03,MAN-APPLIANCE-03,no
MAN-FOLD-01,MAN-FOLD-01,no
MAN-FOLD-01P1,MAN-FOLD-01P1,no
MAN-FOLD-02,MAN-FOLD-02,no
MAN-FOLD-02P1,MAN-FOLD-02P1,no
MAN-INSERT-01,MAN-INSERT-01,no
MAN-OPEN-01,MAN-OPEN-01,no
MAN-OPEN-02,MAN-OPEN-02,no
MAN-PICK-01,MAN-PICK-01,no
MAN-PICK-01B1,MAN-PICK-02B,yes
MAN-PICK-01B2,MAN-PICK-01B2,no
MAN-PICK-01B3,MAN-PICK-01B3,no
MAN-PICK-01B4,MAN-PICK-01B4,no
MAN-PICK-01B5,MAN-PICK-01B5,no
MAN-PICK-01P1,MAN-PICK-01P1,no
MAN-PICK-02P,MAN-PICK-02P,no
MAN-PICK-03,MAN-PICK-03,no
MAN-PICK-03P,MAN-PICK-03P,no
MAN-PICK-04,MAN-PICK-04,no
MAN-PICK-04P,MAN-PICK-04P,no
MAN-PICK-05,MAN-PICK-05,no
MAN-PICK-05B,MAN-PICK-02B,yes
MAN-PLACE-01,MAN-PLACE-01,no
MAN-PLACE-02,MAN-PLACE-02,no
MAN-PLACE-02B1,MAN-PLACE-02B1,no
MAN-PLACE-02B2,MAN-PLACE-02B2,no
MAN-PLACE-02P1,MAN-PLACE-02P1,no
MAN-PLACE-02P2,MAN-PLACE-02P2,no
MAN-PLACE-02P3,MAN-PLACE-02P3,no
MAN-PLACE-03,MAN-PLACE-03,no
MAN-PLACE-03B,MAN-PLACE-03B,no
MAN-POUR-01,MAN-POUR-01,no
MAN-POUR-01P,MAN-POUR-01P,no
MAN-STACK-01,MAN-STACK-01,no
MAN-TRANSPORT-01,MAN-TRANSPORTWITHBASKET-01,yes
MAN-TRANSPORT-01P,MAN-TRANSPORTWITHBASKET-02P,yes
MAN-TRANSPORT-02,MAN-TRANSPORTWITHTRAY-01,yes
NAV-FOLLOW-01,NAV-FOLLOW-01,no
NAV-FOLLOW-01P1,NAV-FOLLOW-01P1,no
NAV-FOLLOW-01P2,NAV-FOLLOW-01P2,no
NAV-FOLLOW-01P3,NAV-FOLLOW-01P3,no
NAV-FOLLOW-01P4,NAV-FOLLOW-01P4,no
NAV-GAZEDIR-01,NAV-GAZEDIRECTION-01,yes
NAV-NAVIGATE-01,NAV-NAVIGATE-01,no
NAV-NAVIGATE-02,NAV-NAVIGATE-02,no
NAV-NAVIGATE-03,NAV-NAVIGATE-03,no
NAV-NAVIGATE-03P,NAV-NAVIGATE-03P,no
NAV-NAVIGATE-04,NAV-NAVIGATE-04,no
NAV-NAVIGATE-05P,NAV-NAVIGATE-05P,no
NLU-NOQUESTION-01,NLU-AVOIDNONESSENTIALQUESTIONS-01B,yes
NLU-UNDERSTAND-01,NLU-UNDERSTANDCOMMAND-01,yes
NLU-UNDERSTAND-01P1,NLU-UNDERSTANDCOMMAND-02P,yes
NLU-UNDERSTAND-01P2,NLU-UNDERSTANDCOMMAND-03P,yes
NLU-UNDERSTAND-01P3,NLU-UNDERSTANDCOMMAND-04P,yes
NLU-UNDERSTAND-02,NLU-UNDERSTANDCOMMAND-05,yes
OBJ-DETECTEVENT-01,OBJ-DETECTEVENT-01,no
OBJ-PERCEIVE-01,OBJ-PERCEIVE-01,no
OBJ-RECOGNIZE-01,OBJ-RECOGNIZE-01,no
PLN-INTERLEAVE-01,PLN-INTERLEAVETASKS-01B,yes
PLN-PLAN-01,PLN-DEMONSTRATEPLAN-01,yes
PLN-SOLVE-01,PLN-SOLVECOMMAND-01,yes
PLN-SOLVE-02,PLN-SOLVECOMMAND-02,yes
PLN-SOLVE-03,PLN-SOLVECOMMAND-03,yes
PLN-SOLVE-PARTIAL,PLN-SOLVECOMMAND-04P,yes
PPL-DESCRIBE-01,PPL-DESCRIBEATTRIBUTE-01B,yes
PPL-DESCRIBE-01P,PPL-DESCRIBEATTRIBUTE-02P,yes
PPL-DETECT-01,PPL-DETECTCALLINGORWAVING-01,yes
SPECIAL-ALTSTART,SPECIAL-02,yes
SPECIAL-NOTATTEND,SPECIAL-01,yes
